Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_485.jpg;9.664864;0.5225559;0;0.9360687;98.72049;84.44238;359.9187;239.1196;0.6867718
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_527.jpg;-0.3005415;0.6462533;0;0.9568607;98.70203;84.40901;359.9146;239.3447;0.6822953
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_569.jpg;-2.203128;0.7730924;0;0.9732352;98.68182;84.37558;359.9273;239.2665;0.6411355
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_611.jpg;-4.083961;0.8984814;0;0.9978303;98.66029;84.34113;359.9729;239.088;0.5834979
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_652.jpg;-5.934919;1;0;1.029083;98.63727;84.30547;0.05549591;238.8381;0.509316
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_694.jpg;-7.805538;1;0;1.056886;98.6126;84.26865;0.1740217;238.5012;0.4176585
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_735.jpg;-9.669654;1;0;1.089413;98.58626;84.2309;0.3220457;238.0582;0.3083125
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_777.jpg;-11.57555;1;0;1.115423;98.5435;84.17304;0.5819394;237.1974;0.1048831
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_819.jpg;-13.42201;1;0;1.143681;98.51287;84.1339;0.7748777;236.4774;359.9483
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_860.jpg;-15;1;0;1.168889;98.48174;84.0946;0.9341488;235.662;359.8358
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_903.jpg;-15;1;0;1.201939;98.44931;84.05525;1.077074;234.8174;359.7353
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_943.jpg;-15;1;0;1.244898;98.41687;84.01636;1.147681;233.9677;359.6954
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_31_987.jpg;-15;1;0;1.269546;98.38435;83.97833;1.134161;233.1058;359.713
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_027.jpg;-15;1;0;1.290337;98.35165;83.9413;1.0387;232.2255;359.7802
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_068.jpg;-15;1;0;1.342868;98.31577;83.90324;0.9771317;231.2695;359.827
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_111.jpg;-15;1;0;1.373238;98.2779;83.86465;0.9424771;230.3673;359.8472
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_153.jpg;-15;1;0;1.403721;98.23827;83.82548;0.9315792;229.4548;359.8495
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_194.jpg;-15;1;0;1.43388;98.19696;83.78584;0.9406194;228.5212;359.8372
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_235.jpg;-15;1;0;1.463538;98.15398;83.74583;0.9658245;227.5645;359.8121
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_278.jpg;-15;1;0;1.492242;98.08672;83.68538;1.015755;226.0992;359.7665
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_320.jpg;-15;1;0;1.521841;98.04035;83.64505;1.032726;225.1008;359.7496
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_361.jpg;-15;1;0;1.550713;97.99284;83.60495;1.024466;224.0894;359.749
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_403.jpg;-15;1;0;1.582237;97.94384;83.56512;1.001282;223.0662;359.7522
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_445.jpg;-15;1;0;1.627319;97.89309;83.52558;0.9764245;222.0341;359.7464
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_487.jpg;-15;1;0;1.656658;97.84063;83.48624;0.9550427;220.9921;359.7311
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_527.jpg;-15;1;0;1.685848;97.78648;83.44711;0.9374579;219.9366;359.7075
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_569.jpg;-15;1;0;1.714505;97.73075;83.40822;0.919034;218.8685;359.6805
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_611.jpg;-15;1;0;1.743852;97.67361;83.3697;0.8900442;217.7859;359.6583
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_653.jpg;-15;1;0;1.772873;97.61478;83.3317;0.85797;216.6915;359.6306
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_695.jpg;-15;1;0;1.801788;97.55433;83.29423;0.8232;215.5864;359.5986
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_736.jpg;-15;1;0;1.830572;97.49224;83.25732;0.7860827;214.4701;359.5626
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_779.jpg;-15;1;0;1.859861;97.39613;83.20318;0.7214471;212.7746;359.5055
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_820.jpg;-15;1;0;1.887891;97.33002;83.16799;0.6745444;211.6301;359.4632
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_861.jpg;-15;1;0;1.91626;97.26233;83.1336;0.6236364;210.4773;359.4195
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_902.jpg;-15;1;0;1.944625;97.19299;83.10009;0.5703253;209.3119;359.3719
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_945.jpg;-15;1;0;1.986764;97.12206;83.06749;0.5142978;208.139;359.3223
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_32_985.jpg;-15;1;0;2.014747;97.04958;83.03587;0.4535796;206.9548;359.2725
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_028.jpg;-14.36475;1;0;2.043355;96.97544;83.00533;0.3929102;205.7667;359.2185
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_069.jpg;-12.49711;1;0;2.072134;96.89985;82.97529;0.3342321;204.6491;359.1739
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_111.jpg;-10.61164;1;0;2.102268;96.82262;82.94556;0.2869488;203.6431;359.1364
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_153.jpg;-8.7139;1;0;2.131797;96.74382;82.91595;0.2534655;202.7608;359.1092
G:\senior1 -CSE 3rd-\Image Processing\vision project\vision-project\IMG\robocam_2022_12_07_21_50_33_195.jpg;-6.843721;1;0;2.161288;96.66354;82.88618;0.233723;202.0168;359.0981
